,0
2017-07-31,6.836448943242255e-05
2017-08-31,0.0009560343373719831
2017-09-29,0.0003629159254561051
2017-10-31,0.00038562800961242474
2017-11-30,0.0022365745821015743
2017-12-29,7.251539962714844e-05
2018-01-31,0.0007465678563163751
2018-02-28,0.001660066828674718
2018-03-29,6.282906857855214e-05
2018-04-30,6.528434523520282e-05
2018-05-31,0.001310117708583066
2018-06-29,0.0007491041101345158
2018-07-31,0.0020287446590346436
2018-08-31,0.0007367593622066533
2018-09-28,0.0008732306469277723
2018-10-31,0.001038100065387769
2018-11-30,0.0006322576811639778
2018-12-31,0.0003982466733780249
2019-01-31,0.0015785845954085992
2019-02-28,0.0009053020012250097
2019-03-29,0.0005129347732786752
2019-04-30,9.151289579138222e-05
2019-05-31,0.00031280735735067977
2019-06-28,0.0010909419157003463
2019-07-31,8.815488988868212e-05
2019-08-30,0.0004539934544687079
2019-09-30,0.0001907307524948358
2019-10-31,0.0006734460152256919
2019-11-29,0.0005803324986704603
2019-12-31,0.0007890431576783003
2020-01-31,6.759664471127096e-05
2020-02-28,0.0011810159780693483
2020-03-31,0.0013655871365906406
2020-04-30,0.000552599500974826
2020-05-29,0.0005069762601734017
2020-06-30,5.407995130746448e-05
2020-07-31,0.002015026929715414
2020-08-31,0.001344145202675207
2020-09-30,0.0008421392505517157
2020-10-30,0.0004658487153891138
2020-11-30,8.109241925554906e-05
2020-12-31,0.0005023241812390955
2021-01-29,5.952190230890653e-05
2021-02-26,0.0004089497881791581
2021-03-31,0.001407087182543382
2021-04-30,0.0008921513941112435
2021-05-28,5.728594799185125e-05
2021-06-30,8.20741990242251e-05
2021-07-30,0.0017797802447819414
2021-08-31,0.0008595916812058306
2021-09-30,0.00021666613261041862
2021-10-29,0.00021364374068820143
2021-11-30,0.0017933562562391558
2021-12-31,0.0005329509662893916
2022-01-31,9.211104788527779e-05
2022-02-28,0.0010221455987631054
2022-03-31,0.0006581724024321511
2022-04-29,0.0007148226930761855
2022-05-31,0.000760165592469733
2022-06-30,0.0005397774687522572
2022-07-29,0.0005427204057810304
2022-08-31,7.849069275528497e-05
2022-09-30,0.000113473655368484
2022-10-31,9.422566151898797e-05
2022-11-30,0.00011093706934281076
2022-12-30,0.0001322046987011782
2023-01-31,0.0007556790953891954
2023-02-28,0.00026518594692786016
2023-03-31,0.0008776305257453853
2023-04-28,0.0015509597124336804
2023-05-31,0.0006371058894299279
2023-06-30,0.0009481740782845019
2023-07-31,0.0010383203736443072
2023-08-31,0.0008272650573012145
2023-09-29,0.001599133676054429
2023-10-31,0.0021339357674581053
2023-11-30,0.0009828847206994496
2023-12-29,0.0018602890506686518
2024-01-31,0.0003951646684903156
2024-02-29,0.0004012526622420676
2024-03-28,0.0008602361287228345
2024-04-30,0.001212551755958402
2024-05-31,0.0010454267308181112
2024-06-28,6.808898990450704e-05
2024-07-31,0.0015922115853298615
2024-08-30,0.0016621911052195472
2024-09-30,0.0005374468083336362
2024-10-31,6.498847433847767e-05
2024-11-29,0.0006143176190711859
2024-12-31,0.001489491808110736
2025-01-31,0.00044075366998135186
2025-02-28,0.00039364523471074344
2025-03-31,0.000984797018790092
2025-04-30,0.000924748116503064
2025-05-30,0.0007010962653110813
2025-06-30,0.0014505601075572758
2025-07-31,0.0006275645791912011
2025-08-29,0.0014871526721562819
2025-09-30,4.844091598616702e-05
2025-10-31,0.0017538522049055927
2025-11-28,7.190425083758185e-05
2025-12-31,8.934132782495445e-05
2026-01-30,0.0006933246025986507
2026-02-27,0.0005717595381099164
2026-03-31,0.0007082323610203185
2026-04-07,0.0007779162333312602
