,TSMOM
2021-09-30,0.008474607956448338
2021-10-29,0.04286530091579439
2021-11-30,-0.03581826487226444
2021-12-31,0.032141407054244835
2022-01-31,0.025607568762015018
2022-02-28,-0.003568217617296104
2022-03-31,0.07250844155081704
2022-04-29,0.09212372540910728
2022-05-31,-0.017945171548408422
2022-06-30,0.09804043130248283
2022-07-29,-0.05972061990781573
2022-08-31,0.10607595269211575
2022-09-30,0.1350084697390511
2022-10-31,-0.0013021576549278268
2022-11-30,-0.20242058548441322
2022-12-30,-0.014188608132479397
2023-01-31,-0.1203955491857035
2023-02-28,0.05572601562471776
2023-03-31,-0.06609923331872289
2023-04-28,-0.016578845365960656
2023-05-31,0.03345349373150043
2023-06-30,0.0019856206151755897
2023-07-31,0.013284532645049979
2023-08-31,-0.012427305383062026
2023-09-29,-0.03335801503227402
2023-10-31,-0.01311977373397769
2023-11-30,0.040500553613916045
2023-12-29,-0.054772244668354286
2024-01-31,-0.00535703873743536
2024-02-29,0.02052419823467381
2024-03-28,0.05617413067772898
2024-04-30,-0.0009729928417719233
2024-05-31,0.0009119338363552402
2024-06-28,0.004374194420944986
2024-07-31,-0.00033239836164385546
2024-08-30,-0.008179246365153658
2024-09-30,0.04096112239552412
2024-10-31,-0.04756637114739096
2024-11-29,0.027363002993745115
2024-12-31,-0.04718745369874069
2025-01-31,0.04257331000786193
2025-02-28,-9.859836134826813e-05
2025-03-31,-0.013342220025512339
2025-04-30,-0.026587080952501046
2025-05-30,0.016814174279392437
2025-06-30,0.0422722282800982
2025-07-31,-0.03939093107846338
2025-08-29,0.05332199480507929
2025-09-30,0.06904926236111275
2025-10-31,0.04005525342512914
2025-11-28,0.028081022574547466
2025-12-31,0.023666130033473055
2026-01-30,0.0772441862140335
2026-02-27,0.05897486920655861
2026-03-31,-0.059683775256803476
2026-04-07,0.0069491419198197705
